team_name,Inferno,Anubis,Ancient,Nuke,Dust2,Overpass,Mirage
Vitality,107.2654027209263,110.482144,110.3,111.476247552,109.51229527256832,110.94456772608,106.81572063678686
FURIA,105.340776014269,108.346944,109.5,108.274595373056,107.79495080064598,104.2578056175616,104.25484280139324
MOUZ,108.16194859958271,109.0,106.0456,108.369061888,105.64204578347288,110.18162688,108.035675844608
Falcons,107.75052738485552,107.372576,107.568512,107.7005549252608,105.7098592364807,108.5,108.12367599518583
PARIVISION,109.34968971769676,107.778976,108.81262083072,108.0,108.02612845110548,105.32797387261542,108.64349062018049
Spirit,107.5,107.8592,106.7241860096,106.233225472,109.46366732995776,108.3558834105385,106.33713048205315
The MongolZ,104.1455982882816,107.0,104.41348224,105.76691217408,104.7831756389295,106.4,109.7896650199234
Aurora,106.10648483737349,109.559904,106.2,105.720128,106.48155081591456,106.159813339136,103.30763800092583
Natus Vincere,106.913103357952,106.408,108.6024384,106.6959104,107.6143453538715,106.0,104.34236419046086
G2,105.20833330176,104.71664,107.14992896,105.5,105.79256979411804,106.163525376,106.00674147647584
FaZe,103.08569806102528,104.94,103.67690496,102.22676608,106.322447872,105.6358336,103.843975421952
Astralis,107.16,104.5,107.46025120768,105.71088452608,104.7961995320934,106.96086948981636,103.55553511836024
FUT,104.0,102.827776,104.685217792,104.171776905216,103.52647887716712,106.5543591665664,110.13935992596372
3DMAX,104.20009490399232,104.72768,104.151304448,103.28706432,105.23892241050908,102.678420736,103.5
paiN,104.1288,102.608,103.0,105.3639626006528,102.346741094119,102.22643237354208,103.32578705713313
Liquid,104.42708332544,101.80416,101.42413056,101.4468469010432,101.85662480912018,102.5,102.12668536911896
GamerLegion,104.34888421951705,102.0,102.0,101.680032,102.23329800173772,103.0831365857149,104.20648710023148
HEROIC,104.685957091328,101.5,100.669339392,103.9302260826112,105.57359716362872,101.42828494642872,104.01796258954452
B8,100.721618176,101.068,102.1160832,102.9458048,101.78510176256,101.14146688,104.12726234970232
Gentle Mates,100.5,100.5,100.5,100.5,100.5,100.5,100.5
